"model","task","metric","value"
"Linear Regression","regression","RMSE",1.57880411117153
"Linear Regression","regression","MAE",1.24304890293329
"Linear Regression","regression","R2",0.0400272050104795
"Decision Tree (Reg)","regression","RMSE",1.47416799723429
"Decision Tree (Reg)","regression","MAE",1.15461746212525
"Decision Tree (Reg)","regression","R2",0.128758357979988
"Logistic Regression","classification","Accuracy",1
"Logistic Regression","classification","AUC",1
"SVM (RBF)","classification","Accuracy",0.978350515463917
"SVM (RBF)","classification","AUC",0.99721322537112
"KNN (k=5)","classification","Accuracy",0.912371134020619
"KNN (k=5)","classification","AUC",0.878296221322537
"Naive Bayes","classification","Accuracy",0.963917525773196
"Naive Bayes","classification","AUC",0.984453441295547
"XGBoost","classification","Accuracy",1
"XGBoost","classification","AUC",1
